prod_inchi,prod_mults,reac_inchi,reac_mults
"InChI=1S/C5H10O3.HO/c1-4(6)3-5(2)8-7;/h5,7H,3H2,1-2H3;1H",1_2,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h4-6H,3H2,1-2H3",2
"InChI=1S/C5H10O3.HO/c1-5(6)3-2-4-8-7;/h7H,2-4H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5,7H,2-4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-2-5(6)3-4-8-7;/h7H,2-4H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h5,7H,2-4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-3-5(6)4(2)8-7;/h4,7H,3H2,1-2H3;1H",1_2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-5,7H,3H2,1-2H3",2
"InChI=1S/C3H6O2.C2H5O2/c1-2-3-5-4;1-2-4-3/h2,4H,1,3H2;3H,1-2H2",1_2,"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h2,6-7H,1,3-5H2",2
"InChI=1S/C5H9O2.HO/c1-2-3-5(7)4-6;/h4-5H,2-3H2,1H3;1H",2_2,"InChI=1S/C5H10O3/c1-2-3-5(4-6)8-7/h4-5,7H,2-3H2,1H3",1
"InChI=1S/C5H9O2.HO/c1-2-5(7)3-4-6;/h4-5H,2-3H2,1H3;1H",2_2,"InChI=1S/C5H10O3/c1-2-5(8-7)3-4-6/h4-5,7H,2-3H2,1H3",1
"InChI=1S/C5H9O2.HO/c1-5(7)3-2-4-6;/h4-5H,2-3H2,1H3;1H",2_2,"InChI=1S/C5H10O3/c1-5(8-7)3-2-4-6/h4-5,7H,2-3H2,1H3",1
"InChI=1S/C5H9O2.HO/c6-4-2-1-3-5-7;/h4H,1-3,5H2;1H",2_2,"InChI=1S/C5H10O3/c6-4-2-1-3-5-8-7/h4,7H,1-3,5H2",1
"InChI=1S/C5H9O2.HO/c1-2-3-5(7)4-6;/h2-4H2,1H3;1H",2_2,"InChI=1S/C5H10O3/c1-2-3-5(6)4-8-7/h7H,2-4H2,1H3",1
"InChI=1S/C5H9O2.HO/c1-3-5(7)4(2)6;/h5H,3H2,1-2H3;1H",2_2,"InChI=1S/C5H10O3/c1-3-5(8-7)4(2)6/h5,7H,3H2,1-2H3",1
"InChI=1S/C5H9O2.HO/c1-4(6)3-5(2)7;/h4H,3H2,1-2H3;1H",2_2,"InChI=1S/C5H10O3/c1-4(6)3-5(2)8-7/h5,7H,3H2,1-2H3",1
"InChI=1S/C5H9O2.HO/c1-5(7)3-2-4-6;/h2-4H2,1H3;1H",2_2,"InChI=1S/C5H10O3/c1-5(6)3-2-4-8-7/h7H,2-4H2,1H3",1
"InChI=1S/C5H9O2.HO/c1-2-5(7)3-4-6;/h2-4H2,1H3;1H",2_2,"InChI=1S/C5H10O3/c1-2-5(6)3-4-8-7/h7H,2-4H2,1H3",1
"InChI=1S/C5H9O2.HO/c1-3-5(7)4(2)6;/h4H,3H2,1-2H3;1H",2_2,"InChI=1S/C5H10O3/c1-3-5(6)4(2)8-7/h4,7H,3H2,1-2H3",1
"InChI=1S/C4H8O.CHO/c1-2-3-4-5;1-2/h4H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H9O2/c1-2-3-5(7)4-6/h4-5H,2-3H2,1H3",2
"InChI=1S/C3H6O.C2H3O/c1-2-3-4;1-2-3/h3H,2H2,1H3;2H,1H2",1_2,"InChI=1S/C5H9O2/c1-2-5(7)3-4-6/h4-5H,2-3H2,1H3",2
"InChI=1S/C3H5O.C2H4O/c1-2-3-4;1-2-3/h3H,1-2H2;2H,1H3",2_1,"InChI=1S/C5H9O2/c1-5(7)3-2-4-6/h4-5H,2-3H2,1H3",2
"InChI=1S/C4H7O.CH2O/c1-2-3-4-5;1-2/h4H,1-3H2;1H2",2_1,"InChI=1S/C5H9O2/c6-4-2-1-3-5-7/h4H,1-3,5H2",2
"InChI=1S/C4H7O.CH2O/c1-2-3-4-5;1-2/h2-3H2,1H3;1H2",2_1,"InChI=1S/C5H9O2/c1-2-3-5(7)4-6/h2-4H2,1H3",2
"InChI=1S/C3H6O.C2H3O/c1-2-3-4;1-2-3/h3H,2H2,1H3;1H3",1_2,"InChI=1S/C5H9O2/c1-3-5(7)4(2)6/h5H,3H2,1-2H3",2
"InChI=1S/C3H5O.C2H4O/c1-3(2)4;1-2-3/h1H2,2H3;2H,1H3",2_1,"InChI=1S/C5H9O2/c1-4(6)3-5(2)7/h4H,3H2,1-2H3",2
"InChI=1S/C4H7O.CH2O/c1-3-4(2)5;1-2/h1,3H2,2H3;1H2",2_1,"InChI=1S/C5H9O2/c1-5(7)3-2-4-6/h2-4H2,1H3",2
"InChI=1S/C4H7O.CH2O/c1-3-4(2)5;1-2/h2-3H2,1H3;1H2",2_1,"InChI=1S/C5H9O2/c1-2-5(7)3-4-6/h2-4H2,1H3",2
"InChI=1S/C3H5O.C2H4O/c1-2-3-4;1-2-3/h2H2,1H3;2H,1H3",2_1,"InChI=1S/C5H9O2/c1-3-5(7)4(2)6/h4H,3H2,1-2H3",2
"InChI=1S/C5H10O3/c1-2-4-3-5(6)8-7-4/h4-6H,2-3H2,1H3",1,"InChI=1S/C5H10O3/c1-2-5(8-7)3-4-6/h4-5,7H,2-3H2,1H3",1
"InChI=1S/C5H10O3/c1-4-3-5(2,6)8-7-4/h4,6H,3H2,1-2H3",1,"InChI=1S/C5H10O3/c1-4(6)3-5(2)8-7/h5,7H,3H2,1-2H3",1
"InChI=1S/C5H10O3/c1-2-5(6)3-4-7-8-5/h6H,2-4H2,1H3",1,"InChI=1S/C5H10O3/c1-2-5(6)3-4-8-7/h7H,2-4H2,1H3",1
"InChI=1S/C4H8O.CH2O2/c1-3-4(2)5;2-1-3/h3H2,1-2H3;1H,(H,2,3)",1_1,"InChI=1S/C5H10O3/c1-2-4-3-5(6)8-7-4/h4-6H,2-3H2,1H3",1
"InChI=1S/C3H6O.C2H4O2/c1-2-3-4;1-2(3)4/h3H,2H2,1H3;1H3,(H,3,4)",1_1,"InChI=1S/C5H10O3/c1-2-4-3-5(6)8-7-4/h4-6H,2-3H2,1H3",1
"InChI=1S/C3H6O.C2H4O2/c1-3(2)4;1-2(3)4/h1-2H3;1H3,(H,3,4)",1_1,"InChI=1S/C5H10O3/c1-4-3-5(2,6)8-7-4/h4,6H,3H2,1-2H3",1
"InChI=1S/C3H6O2.C2H4O/c1-2-3(4)5;1-2-3/h2H2,1H3,(H,4,5);2H,1H3",1_1,"InChI=1S/C5H10O3/c1-2-5(6)3-4-7-8-5/h6H,2-4H2,1H3",1
"InChI=1S/C5H10O2.HO2/c1-3-5(4-2)7-6;1-2/h3,5-6H,1,4H2,2H3;1H",1_2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-7H,2-3H2,1H3",2
"InChI=1S/C5H10O2.HO2/c1-3-4-5(2)7-6;1-2/h3,5-6H,1,4H2,2H3;1H",1_2,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h4-7H,1,3H2,2H3",2
"InChI=1S/C5H10O2.HO2/c1-2-3-4-5-7-6;1-2/h2,6H,1,3-5H2;1H",1_2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5-7H,1-4H2",2
"InChI=1S/C5H10O2.HO2/c1-3-5(4-2)7-6;1-2/h3,5-6H,1,4H2,2H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h3,5-7H,2,4H2,1H3",2
"InChI=1S/C5H10O2.HO2/c1-2-3-4-5-7-6;1-2/h3-4,6H,2,5H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h3,5-7H,2,4H2,1H3",2
"InChI=1S/C5H10O2.HO2/c1-3-4-5(2)7-6;1-2/h3,5-6H,1,4H2,2H3;1H",1_2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h2,5-7H,3-4H2,1H3",2
"InChI=1S/C5H10O2.HO2/c1-2-3-4-5-7-6;1-2/h2,6H,1,3-5H2;1H",1_2,"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h2,6-7H,1,3-5H2",2
"InChI=1S/C5H10O2.HO2/c1-3-4-5(2)7-6;1-2/h3-6H,1-2H3;1H",1_2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h3-7H,1-2H3",2
"InChI=1S/C5H10O2.HO2/c1-2-3-4-5-7-6;1-2/h2-3,6H,4-5H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h2,5-7H,3-4H2,1H3",2
"InChI=1S/C5H10O2.HO2/c1-2-3-4-5-7-6;1-2/h3-4,6H,2,5H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h3,5-7H,2,4H2,1H3",2
"InChI=1S/C5H10O2.HO2/c1-2-3-4-5-7-6;1-2/h2-3,6H,4-5H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h3,5-7H,2,4H2,1H3",2
"InChI=1S/C5H10O2.HO2/c1-3-4-5(2)7-6;1-2/h3-6H,1-2H3;1H",1_2,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h3-7H,1-2H3",2
"InChI=1S/C5H10O3.HO/c1-2-4(8-6)5-3-7-5;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-7H,2-3H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-2-4-5(8-6)3-7-4;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-7H,2-3H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-4(8-6)2-5-3-7-5;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h4-7H,1,3H2,2H3",2
"InChI=1S/C5H10O3.HO/c1-4-2-5(8-6)3-7-4;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h4-7H,1,3H2,2H3",2
"InChI=1S/C5H10O3.HO/c6-8-3-1-2-5-4-7-5;/h5-6H,1-4H2;1H",1_2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5-7H,1-4H2",2
"InChI=1S/C5H10O3.HO/c6-8-5-2-1-3-7-4-5;/h5-6H,1-4H2;1H",1_2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h5-7H,1-4H2",2
"InChI=1S/C5H10O3.HO/c1-4(8-6)5-2-3-7-5;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-7H,1,3H2,2H3",2
"InChI=1S/C5H10O3.HO/c1-4-5(8-6)2-3-7-4;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h4-7H,1,3H2,2H3",2
"InChI=1S/C5H10O3.HO/c6-8-4-2-5-1-3-7-5;/h5-6H,1-4H2;1H",1_2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h5-7H,1-4H2",2
"InChI=1S/C5H10O3.HO/c6-8-5-1-3-7-4-2-5;/h5-6H,1-4H2;1H",1_2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h5-7H,1-4H2",2
"InChI=1S/C5H10O3.HO/c6-8-4-5-2-1-3-7-5;/h5-6H,1-4H2;1H",1_2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h5-7H,1-4H2",2
"InChI=1S/C5H10O3.HO/c6-8-5-2-1-3-7-4-5;/h5-6H,1-4H2;1H",1_2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h5-7H,1-4H2",2
"InChI=1S/C5H10O3.HO/c1-2-4(8-6)5-3-7-5;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h3,5-7H,2,4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-2-4-5(8-4)3-7-6;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h3,5-7H,2,4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-4(8-6)2-5-3-7-5;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h2,5-7H,3-4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-4-2-5(8-4)3-7-6;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h2,5-7H,3-4H2,1H3",2
"InChI=1S/C5H10O3.HO/c6-8-3-1-2-5-4-7-5;/h5-6H,1-4H2;1H",1_2,"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h2,6-7H,1,3-5H2",2
"InChI=1S/C5H10O3.HO/c6-8-4-5-2-1-3-7-5;/h5-6H,1-4H2;1H",1_2,"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h2,6-7H,1,3-5H2",2
"InChI=1S/C5H10O3.HO/c1-3-5(7-3)4(2)8-6;/h3-6H,1-2H3;1H",1_2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h3-7H,1-2H3",2
"InChI=1S/C5H10O3.HO/c1-3-5(8-6)4(2)7-3;/h3-6H,1-2H3;1H",1_2,"InChI=1S/C5H11O4/c1-3-5(9-7)4(2)8-6/h3-7H,1-2H3",2
"InChI=1S/C5H10O3.HO/c1-4-5(8-4)2-3-7-6;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h2,5-7H,3-4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-4-5(8-6)2-3-7-4;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-5(9-7)3-4-8-6/h2,5-7H,3-4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-4-2-5(8-4)3-7-6;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h2,5-7H,3-4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-4-2-5(8-6)3-7-4;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h2,5-7H,3-4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-2-4-5(8-6)3-7-4;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h3,5-7H,2,4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-2-4-5(8-4)3-7-6;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-2-3-5(9-7)4-8-6/h3,5-7H,2,4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-4(8-6)5-2-3-7-5;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h3,5-7H,2,4H2,1H3",2
"InChI=1S/C5H10O3.HO/c1-4-5(8-4)2-3-7-6;/h4-6H,2-3H2,1H3;1H",1_2,"InChI=1S/C5H11O4/c1-5(9-7)3-2-4-8-6/h3,5-7H,2,4H2,1H3",2
"InChI=1S/C5H10O3.HO/c6-8-4-2-5-1-3-7-5;/h5-6H,1-4H2;1H",1_2,"InChI=1S/C5H11O4/c6-8-4-2-1-3-5-9-7/h1,6-7H,2-5H2",2
"InChI=1S/C5H10O3.HO/c1-3-5(7-3)4(2)8-6;/h3-6H,1-2H3;1H",1_2,"InChI=1S/C5H11O4/c1-4(8-6)3-5(2)9-7/h3-7H,1-2H3",2
"InChI=1S/C5H9O2.HO/c6-3-1-2-5-4-7-5;/h5H,1-4H2;1H",2_2,"InChI=1S/C5H10O3/c6-8-3-1-2-5-4-7-5/h5-6H,1-4H2",1
"InChI=1S/C5H9O2.HO/c1-2-7-5-3-4-6;/h4H,1-3,5H2;1H",2_2,"InChI=1S/C5H10O3/c6-8-5-1-3-7-4-2-5/h5-6H,1-4H2",1
"InChI=1S/C4H7.CH2O/c1-3-4-2;1-2/h3-4H,1H2,2H3;1H2",2_1,"InChI=1S/C5H8.HO/c1-3-5-4-2;/h3-5H,1H2,2H3;1H",1_2
"InChI=1S/C3H4O.C2H5/c1-2-3-4;1-2/h2-3H,1H2;1H2,2H3",1_2,"InChI=1S/C5H8.HO/c1-3-5-4-2;/h3-5H,1H2,2H3;1H",1_2
"InChI=1S/C3H5.C2H4O/c1-3-2;1-2-3/h1,3H,2H3;2H,1H3",2_1,"InChI=1S/C5H8.HO/c1-3-5-4-2;/h3-5H,1H2,2H3;1H",1_2
InChI=1S/CH2O.CHO/c2*1-2/h1H2;1H,1_2,"InChI=1S/C2H3O2/c3-1-2-4/h1H,2H2",2
"InChI=1S/C2H3O.CH2O/c1-2-3;1-2/h2H,1H2;1H2",2_1,"InChI=1S/C3H5O2/c1-5-3-2-4/h2H,1,3H2",2
"InChI=1S/C2H4O.CHO/c1-2-3;1-2/h2H,1H3;1H",1_2,"InChI=1S/C3H5O2/c1-3(5)2-4/h2-3H,1H3",2
"InChI=1S/C3H5.CH2O/c1-3-2;1-2/h3H,1-2H2;1H2",2_1,"InChI=1S/C4H7O/c1-2-3-4-5/h2H,1,3-4H2",2
"InChI=1S/C3H7.C2H5/c1-3-2;1-2/h3H,1-2H3;1H2,2H3",2_2,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",1
"InChI=1S/C4H9.CH3/c1-3-4-2;/h3H,4H2,1-2H3;1H3",2_2,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",1
"InChI=1S/C4H9.CH3/c1-4(2)3;/h4H,1H2,2-3H3;1H3",2_2,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",1
"InChI=1S/C5H11.H/c1-4-5(2)3;/h5H,2,4H2,1,3H3;",2_2,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",1
"InChI=1S/C5H11.H/c1-4-5(2)3;/h4H2,1-3H3;",2_2,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",1
"InChI=1S/C5H11.H/c1-4-5(2)3;/h4-5H,1-3H3;",2_2,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",1
"InChI=1S/C5H11.H/c1-4-5(2)3;/h5H,1,4H2,2-3H3;",2_2,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",1
"InChI=1S/C5H11.HO2/c1-4-5(2)3;1-2/h5H,2,4H2,1,3H3;1H",2_2,"InChI=1S/C5H12.O2/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;",1_3
"InChI=1S/C5H11.HO2/c1-4-5(2)3;1-2/h5H,1,4H2,2-3H3;1H",2_2,"InChI=1S/C5H12.O2/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;",1_3
"InChI=1S/C5H11.HO/c1-4-5(2)3;/h5H,2,4H2,1,3H3;1H",2_2,"InChI=1S/C5H12.O/c1-4-5(2)3;/h5H,4H2,1-3H3;",1_3
"InChI=1S/C5H11.HO/c1-4-5(2)3;/h5H,1,4H2,2-3H3;1H",2_2,"InChI=1S/C5H12.O/c1-4-5(2)3;/h5H,4H2,1-3H3;",1_3
"InChI=1S/C5H11.H2/c1-4-5(2)3;/h5H,2,4H2,1,3H3;1H",2_1,"InChI=1S/C5H12.H/c1-4-5(2)3;/h5H,4H2,1-3H3;",1_2
"InChI=1S/C5H11.H2/c1-4-5(2)3;/h5H,1,4H2,2-3H3;1H",2_1,"InChI=1S/C5H12.H/c1-4-5(2)3;/h5H,4H2,1-3H3;",1_2
"InChI=1S/C5H11.H2O/c1-4-5(2)3;/h5H,2,4H2,1,3H3;1H2",2_1,"InChI=1S/C5H12.HO/c1-4-5(2)3;/h5H,4H2,1-3H3;1H",1_2
"InChI=1S/C5H11.H2O/c1-4-5(2)3;/h5H,1,4H2,2-3H3;1H2",2_1,"InChI=1S/C5H12.HO/c1-4-5(2)3;/h5H,4H2,1-3H3;1H",1_2
"InChI=1S/C5H11.H2O2/c1-4-5(2)3;1-2/h5H,2,4H2,1,3H3;1-2H",2_1,"InChI=1S/C5H12.HO2/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H",1_2
"InChI=1S/C5H11.H2O2/c1-4-5(2)3;1-2/h5H,1,4H2,2-3H3;1-2H",2_1,"InChI=1S/C5H12.HO2/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H",1_2
"InChI=1S/C5H11.CH4/c1-4-5(2)3;/h5H,2,4H2,1,3H3;1H4",2_1,"InChI=1S/C5H12.CH3/c1-4-5(2)3;/h5H,4H2,1-3H3;1H3",1_2
"InChI=1S/C5H11.CH4/c1-4-5(2)3;/h5H,1,4H2,2-3H3;1H4",2_1,"InChI=1S/C5H12.CH3/c1-4-5(2)3;/h5H,4H2,1-3H3;1H3",1_2
"InChI=1S/C5H11.CH4O/c1-4-5(2)3;1-2/h5H,2,4H2,1,3H3;2H,1H3",2_1,"InChI=1S/C5H12.CH3O/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H3",1_2
"InChI=1S/C5H11.CH4O/c1-4-5(2)3;1-2/h5H,1,4H2,2-3H3;2H,1H3",2_1,"InChI=1S/C5H12.CH3O/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H3",1_2
"InChI=1S/C5H11.CH4O2/c1-4-5(2)3;1-3-2/h5H,2,4H2,1,3H3;2H,1H3",2_1,"InChI=1S/C5H12.CH3O2/c1-4-5(2)3;1-3-2/h5H,4H2,1-3H3;1H3",1_2
"InChI=1S/C5H11.CH4O2/c1-4-5(2)3;1-3-2/h5H,1,4H2,2-3H3;2H,1H3",2_1,"InChI=1S/C5H12.CH3O2/c1-4-5(2)3;1-3-2/h5H,4H2,1-3H3;1H3",1_2
"InChI=1S/C5H11.C2H6/c1-4-5(2)3;1-2/h5H,2,4H2,1,3H3;1-2H3",2_1,"InChI=1S/C5H12.C2H5/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H2,2H3",1_2
"InChI=1S/C5H11.C2H6/c1-4-5(2)3;1-2/h5H,1,4H2,2-3H3;1-2H3",2_1,"InChI=1S/C5H12.C2H5/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H2,2H3",1_2
"InChI=1S/C5H11.C2H4/c1-4-5(2)3;1-2/h5H,2,4H2,1,3H3;1-2H2",2_1,"InChI=1S/C5H12.C2H3/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H,2H2",1_2
"InChI=1S/C5H11.C2H4/c1-4-5(2)3;1-2/h5H,1,4H2,2-3H3;1-2H2",2_1,"InChI=1S/C5H12.C2H3/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H,2H2",1_2
"InChI=1S/C5H11.CH2O3/c1-4-5(2)3;2-1-4-3/h5H,2,4H2,1,3H3;1,3H",2_1,"InChI=1S/C5H12.CHO3/c1-4-5(2)3;2-1-4-3/h5H,4H2,1-3H3;1H",1_2
"InChI=1S/C5H11.CH2O3/c1-4-5(2)3;2-1-4-3/h5H,1,4H2,2-3H3;1,3H",2_1,"InChI=1S/C5H12.CHO3/c1-4-5(2)3;2-1-4-3/h5H,4H2,1-3H3;1H",1_2
"InChI=1S/C5H12.C5H11/c2*1-4-5(2)3/h5H,4H2,1-3H3;5H,1,4H2,2-3H3",1_2,"InChI=1S/C5H12.C5H11/c2*1-4-5(2)3/h5H,4H2,1-3H3;5H,2,4H2,1,3H3",1_2
"InChI=1S/C5H12.C5H11/c2*1-4-5(2)3/h5H,4H2,1-3H3;5H,1,4H2,2-3H3",1_2,"InChI=1S/C5H12.C5H11/c2*1-4-5(2)3/h5H,4H2,1-3H3;4H2,1-3H3",1_2
"InChI=1S/C5H12.C5H11/c2*1-4-5(2)3/h5H,4H2,1-3H3;5H,1,4H2,2-3H3",1_2,"InChI=1S/C5H12.C5H11/c2*1-4-5(2)3/h5H,4H2,1-3H3;4-5H,1-3H3",1_2
"InChI=1S/C5H11.HO2/c1-4-5(2)3;1-2/h4-5H,1-3H3;1H",2_2,"InChI=1S/C5H12.O2/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;",1_3
"InChI=1S/C5H11.HO/c1-4-5(2)3;/h4-5H,1-3H3;1H",2_2,"InChI=1S/C5H12.O/c1-4-5(2)3;/h5H,4H2,1-3H3;",1_3
"InChI=1S/C5H11.H2/c1-4-5(2)3;/h4-5H,1-3H3;1H",2_1,"InChI=1S/C5H12.H/c1-4-5(2)3;/h5H,4H2,1-3H3;",1_2
"InChI=1S/C5H11.H2O/c1-4-5(2)3;/h4-5H,1-3H3;1H2",2_1,"InChI=1S/C5H12.HO/c1-4-5(2)3;/h5H,4H2,1-3H3;1H",1_2
"InChI=1S/C5H11.H2O2/c1-4-5(2)3;1-2/h4-5H,1-3H3;1-2H",2_1,"InChI=1S/C5H12.HO2/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H",1_2
"InChI=1S/C5H11.CH4/c1-4-5(2)3;/h4-5H,1-3H3;1H4",2_1,"InChI=1S/C5H12.CH3/c1-4-5(2)3;/h5H,4H2,1-3H3;1H3",1_2
"InChI=1S/C5H11.CH4O/c1-4-5(2)3;1-2/h4-5H,1-3H3;2H,1H3",2_1,"InChI=1S/C5H12.CH3O/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H3",1_2
"InChI=1S/C5H11.CH4O2/c1-4-5(2)3;1-3-2/h4-5H,1-3H3;2H,1H3",2_1,"InChI=1S/C5H12.CH3O2/c1-4-5(2)3;1-3-2/h5H,4H2,1-3H3;1H3",1_2
"InChI=1S/C5H11.C2H6/c1-4-5(2)3;1-2/h4-5H,1-3H3;1-2H3",2_1,"InChI=1S/C5H12.C2H5/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H2,2H3",1_2
"InChI=1S/C5H11.C2H4/c1-4-5(2)3;1-2/h4-5H,1-3H3;1-2H2",2_1,"InChI=1S/C5H12.C2H3/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;1H,2H2",1_2
"InChI=1S/C5H11.CH2O3/c1-4-5(2)3;2-1-4-3/h4-5H,1-3H3;1,3H",2_1,"InChI=1S/C5H12.CHO3/c1-4-5(2)3;2-1-4-3/h5H,4H2,1-3H3;1H",1_2
"InChI=1S/C5H12.C5H11/c2*1-4-5(2)3/h5H,4H2,1-3H3;4-5H,1-3H3",1_2,"InChI=1S/C5H12.C5H11/c2*1-4-5(2)3/h5H,4H2,1-3H3;5H,2,4H2,1,3H3",1_2
"InChI=1S/C5H12.C5H11/c2*1-4-5(2)3/h5H,4H2,1-3H3;4-5H,1-3H3",1_2,"InChI=1S/C5H12.C5H11/c2*1-4-5(2)3/h5H,4H2,1-3H3;4H2,1-3H3",1_2
"InChI=1S/C5H11.HO2/c1-4-5(2)3;1-2/h4H2,1-3H3;1H",2_2,"InChI=1S/C5H12.O2/c1-4-5(2)3;1-2/h5H,4H2,1-3H3;",1_3
"InChI=1S/C5H11.HO/c1-4-5(2)3;/h4H2,1-3H3;1H",2_2,"InChI=1S/C5H12.O/c1-4-5(2)3;/h5H,4H2,1-3H3;",1_3
